,count,mean,std,min,5%,10%,20%,50%,80%,90%,95%,99%,max
Age,491705.0,43.94393996400281,15.756051014397634,15.0,19.0,22.0,27.0,44.0,60.0,66.0,68.0,72.0,81.0
AnnualIncome,491705.0,85055.56718822152,39581.89662681092,11966.385654773483,25581.933080764305,31468.01120606504,45375.12323114801,83717.26723038002,123339.7523329548,138585.11240838582,149968.80956077419,169082.4738326279,204178.29443582465
NumberOfPurchases,491705.0,11.397435454184928,5.993197298178651,0.0,2.0,3.0,5.0,12.0,17.0,19.0,20.0,22.0,28.0
TimeSpentOnWebsite,491705.0,30.605522164738726,17.564822757676644,0.0,2.357762853016893,6.3323242935685515,12.817810311720137,30.76589640274148,48.01387708465659,54.33000524247854,58.27378629065688,63.965363328428055,78.36425134533907
CustomerTenureYears,491705.0,2.1646619164466885,2.196029718702958,0.0,0.0921959448678722,0.2176155299240145,0.4588568170440199,1.4656485983567105,3.5070333718641544,5.109123229549024,6.615538230543269,10.091629259189325,15.346355812069136
LastPurchaseDaysAgo,491705.0,61.19236534100731,54.7468164619534,0.0,4.0,7.0,14.0,32.0,121.0,151.0,166.0,178.0,189.0
LoyaltyProgram,491705.0,0.5013737911959406,0.49999862112798,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
DiscountsAvailed,491705.0,3.153610396477563,1.8795488633957018,0.0,0.0,1.0,1.0,3.0,5.0,6.0,6.0,7.0,10.0
SessionCount,491705.0,2.3514566660904404,1.4853661422682012,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,7.0,12.0
CustomerSatisfaction,491705.0,3.2199367506940137,0.8265628078172393,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0
PurchaseStatus,491705.0,0.4092901231429414,0.49170337597206853,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
TotalSpent,491705.0,1316.8554976662836,1282.4328266053035,0.0,107.25,193.8,357.0,852.72,2184.0,3281.85,4080.0,5595.98,9593.1
min_favorite_purchases,491705.0,2.8899787474196925,1.2288346655361935,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0
